time,open,high,low,close
1782865620,30510.75,30525.25,30510.5,30523
1782865680,30523.5,30536.75,30522.75,30536.75
1782865740,30536.5,30540.75,30532.25,30536.5
1782865800,30536.75,30542.5,30532,30540
1782865860,30539.25,30543.5,30534.75,30541.75
1782865920,30542.25,30545.75,30534.25,30543
1782865980,30543.75,30549.25,30540.75,30546.75
1782866040,30547.25,30547.25,30540.5,30541
1782866100,30541.5,30542.75,30527.5,30530
1782866160,30529.25,30540.75,30529.25,30536.75
1782866220,30536,30543,30535.25,30542
1782866280,30541.5,30547,30539.75,30541.25
1782866340,30543,30545.5,30538,30541.75
1782866400,30544,30548.25,30542.25,30545.5
1782866460,30544.5,30544.75,30538.5,30538.5
1782866520,30538,30541.75,30537,30540.5
1782866580,30539,30541.5,30538.25,30541
1782866640,30540,30540,30535.25,30538
1782866700,30539.75,30542.5,30534.25,30537.25
1782866760,30537.75,30543.5,30535.5,30538.75
1782866820,30539,30539,30533,30537
1782866880,30537,30537.75,30534,30537
1782866940,30537.25,30544.75,30537.25,30543.25
1782867000,30542.75,30543.5,30538.5,30541.25
1782867060,30540.5,30546.5,30539.75,30543
1782867120,30544.5,30547,30538.75,30545.5
1782867180,30543.75,30546.25,30538.25,30539
1782867240,30538.75,30538.75,30530,30530.75
1782867300,30531.25,30537,30531,30534.5
1782867360,30534.75,30535.5,30528,30534.25
1782867420,30533.5,30536.25,30531.25,30535
1782867480,30533,30533.75,30526,30527
1782867540,30527,30527.5,30523.75,30524
1782867600,30523.75,30527,30519,30520.5
1782867660,30524.25,30525.5,30519,30525.5
1782867720,30526.25,30530.25,30520.25,30523.25
1782867780,30524,30524.25,30517.25,30520.75
1782867840,30519.25,30519.25,30510,30510
1782867900,30509.75,30516.25,30507.25,30513.75
1782867960,30515.25,30518.5,30507.75,30510
1782868020,30508.75,30516.25,30508.5,30510.5
1782868080,30510,30510,30500,30502.5
1782868140,30502.75,30506,30496.25,30501.5
1782868200,30501.75,30502,30486,30491.25
1782868260,30492,30493.5,30487.5,30490.75
1782868320,30490.25,30495.75,30479.25,30479.5
1782868380,30479.5,30488.25,30471.75,30488.25
1782868440,30489.25,30500.25,30485,30497.25
1782868500,30500,30506.75,30494.25,30496
1782868560,30496,30496.25,30469.75,30474.25
1782868620,30475,30485.25,30466.75,30472.25
1782868680,30472.75,30482.5,30470.5,30476
1782868740,30477,30486.75,30474.75,30484.75
1782868800,30483.5,30489.25,30476,30487.75
1782868860,30487.5,30492.75,30482.25,30486.5
